# Rep logins — password is 'demo123' for all. Gitignored (plaintext).
# username             emp   role     name

tanakakenta            R01   manager  田中健太
satoumisaki            R02   manager  佐藤美咲
suzukidaisuke          R03   manager  鈴木大輔
takahashiyumi          R04   manager  高橋由美
itoushou               R05   junior   伊藤翔
watanabesakura         R06   junior   渡辺さくら
yamamotokenichi        R07   junior   山本健一
nakamurayuuko          R08   manager  中村優子
kobayashinaoki         R09   manager  小林直樹
katoumiho              R10   manager  加藤美穂
yoshidaakira           R11   junior   吉田亮
yamadasai              R12   junior   山田彩
sasakitakumi           R13   manager  佐々木拓海
matsumotosenjin        R14   manager  松本千尋
inouekaito             R15   junior   井上海斗
kimuranana             R16   junior   木村奈々
hayashidaichi          R17   manager  林大地
shimizuakane           R18   junior   清水あかね
saitouyousuke          R19   manager  斎藤陽介
yamaguchimitsuki       R20   junior   山口美月
moritakeigo            R21   manager  森田圭吾
ikedayui               R22   junior   池田結衣
hashimotoyuuma         R23   manager  橋本悠真
ishikawasayaka         R24   junior   石川さやか
